,concurrent
1933,15
1934,5
1935,13
1936,94
1937,3
1938,45
1939,21
1940,8
1941,5
1942,8
1943,24
1944,29
1945,13
1946,112
1947,486
1948,171
1949,2
1950,6
1951,143
1952,10
1953,0
1954,6
1955,4
1956,93
1957,30
1958,795
1959,20
1960,9
1961,0
1962,9
1963,50
1964,16
1965,0
1966,3
1967,0
1968,9
1969,11
1970,0
1971,40
1972,0
1973,25
1974,61
1975,50
1976,3
1977,10
1978,25
1979,33
1980,10
1981,7
1982,21
1983,5
1984,184
1985,12
1986,25
1987,26
1988,2
1989,18
1990,0
1991,34
1992,36
1993,41
1994,51
1995,17
1996,134
1997,5
1998,20
1999,0
2000,3
2001,13
2002,136
2003,36
2004,35
2005,23
2006,8
2007,20
2008,259
2009,0
2010,47
2011,2
2012,13
2013,42
2014,131
2015,11
2016,5
2017,10
2018,49
2019,6
2020,38
2021,83
2022,113
2023,18
2024,9
2025,37
2026,105
2027,2
2028,127
2029,20
2030,68
2031,1
2032,37
2033,244
2034,18
2035,270
2036,660
2037,76
2038,0
2039,13
2040,43
2041,0
2042,26
2043,66
2044,19
2045,139
2046,11
2047,46
2048,12
2049,4
2050,9
2051,195
2052,36
2053,117
2054,8
2055,18
2056,25
2057,52
2058,88
2059,111
2060,1
2061,350
2062,39
2063,2
2064,71
2065,40
2066,3
2067,19
2068,105
2069,29
2070,68
2071,16
2072,64
2073,6
2074,0
2075,1
2076,20
2077,4
2078,12
2079,24
2080,48
2081,5
2082,6
2083,1
2084,32
2085,10
2086,6
2087,34
2088,17
2089,1
2090,308
2091,52
2092,10
2093,41
2094,192
2095,7
2096,22
2097,14
2098,360
2099,0
2100,13
2101,174
2102,8
2103,18
2104,13
2105,365
2106,32
2107,3
2108,87
2109,23
2110,3
2111,11
2112,5
2113,58
2114,1
2115,35
2116,245
2117,341
2118,376
2119,3644
2120,5
2121,4
2122,3
2123,21
2124,83
2125,15
2126,34
2127,9
2128,146
2129,33
2130,20
2131,8
2132,3
2133,158
2134,51
2135,2
2136,0
2137,5
2138,42
2139,4
2140,11
2141,6
2142,7
2143,13
2144,14
2145,7
2146,17
2147,5
2148,28
2149,4
2150,29
2151,98
2152,14
2153,1
2154,4
2155,11
2156,284
2157,22
2158,3
2159,89
2160,6
2161,70
2162,45
2163,15
2164,11
2165,6
2166,36
2167,62
2168,5
2169,12
2170,88
2171,105
2172,31
2173,12
2174,62
2175,249
2176,25
2177,15
2178,5
2179,5
2180,429
2181,7
2182,29
2183,0
2184,26
2185,17
2186,4
2187,61
2188,94
2189,28
2190,16
2191,15
2192,1
2193,19
2194,7
2195,2
2196,36
2197,0
2198,1
2199,3
2200,12
2201,539
2202,41
2203,10
2204,6
2205,3
2206,18
2207,0
2208,39
2209,31
2210,9
2211,1
2212,22
2213,32
2214,9
2215,12
2216,4
2217,5
2218,97
2219,3
2220,0
2221,172
2222,53
2223,2
2224,29
2225,26
2226,15
2227,9
2228,12
2229,6
2230,60
2231,0
2232,15
2233,33
2234,0
2235,54
2236,2
2237,66
2238,23
2239,11
2240,15
2241,84
2242,33
2243,32
2244,86
2245,12
2246,8
2247,89
2248,3
2249,44
2250,0
2251,4
2252,70
2253,16
2254,13
2255,1
2256,7
2257,1
2258,5
2259,6
2260,39
2261,348
2262,10
2263,4
2264,19
2265,5
2266,4
2267,26
2268,77
2269,2
2270,16
2271,37
2272,32
2273,1
2274,2
2275,49
2276,9
2277,10
2278,0
2279,7
2280,0
2281,0
2282,7
2283,17
2284,8
2285,4
2286,3
2287,0
2288,43
2289,5
2290,0
2291,3
2292,0
2293,4
2294,4
2295,0
2296,10
2297,58
2298,6
2299,161
2300,3
2301,8
2302,40
2303,36
2304,16
2305,73
2306,326
2307,7
2308,38
2309,3
2310,92
2311,119
2312,6
2313,200
2314,2
2315,19
2316,14
2317,79
2318,261
2319,11
2320,0
2321,5
2322,26
2323,2
2324,0
2325,67
2326,22
2327,166
2328,25
2329,29
2330,12
2331,27
2332,5
2333,14
2334,56
2335,4
2336,90
2337,4
2338,3
2339,6
2340,19
2341,28
2342,101
2343,0
2344,89
2345,14
2346,27
2347,7
2348,44
2349,5
2350,0
2351,0
2352,9
2353,33
2354,0
2355,7
2356,64
2357,7
2358,19
2359,25
2360,3
2361,13
2362,0
2363,7
2364,15
2365,105
2366,6
2367,18
2368,5
2369,216
2370,39
2371,2
2372,16
2373,1
2374,2
2375,12
2376,12
2377,3
2378,41
2379,229
2380,175
2381,28
2382,6
2383,32
2384,6
2385,6
2386,0
2387,5
2388,14
2389,3
2390,11
2391,16
2392,14
2393,1
2394,69
2395,0
2396,13
2397,136
2398,35
2399,5
2400,9
2401,5
2402,75
2403,130
2404,7
2405,3
2406,23
2407,1
2408,23
2409,14
2410,16
2411,11
2412,3
2413,65
2414,6
2415,8
2416,15
2417,29
2418,37
2419,1
2420,11
2421,1
2422,125
2423,24
2424,19
2425,6
2426,23
2427,6
2428,2
2429,48
2430,18
2431,7
2432,4
2433,23
2434,109
2435,2
2436,4
2437,408
2438,13
2439,33
2440,33
2441,29
2442,10
2443,6
2444,4
2445,57
2446,53
2447,18
2448,13
2449,2
2450,9
2451,3
2452,10
2453,5
2454,28
2455,0
2456,356
2457,18
2458,16
2459,0
2460,37
2461,31
2462,88
2463,2
2464,2
2465,6
2466,78
2467,3
2468,6
2469,2
2470,18
2471,5
2472,61
2473,13
2474,7
2475,12
2476,44
2477,3
2478,227
2479,8
2480,0
2481,29
2482,1
2483,1
2484,6
2485,7
2486,3
2487,17
2488,8
2489,50
2490,3
2491,28
2492,15
2493,1
2494,19
2495,3
2496,24
2497,1
2498,11
2499,16
2500,7
2501,9
2502,13
2503,30
2504,10
2505,2
2506,65
2507,6
2508,2
2509,8
2510,17
2511,7
2512,1
2513,4
2514,0
2515,0
2516,45
2517,26
2518,17
2519,3
2520,79
2521,2
2522,67
2523,0
2524,20
2525,14
2526,33
2527,13
2528,9
2529,5
2530,28
2531,57
2532,0
2533,35
2534,24
2535,20
2536,2
2537,4
2538,16
2539,1026
2540,9
2541,10
2542,60
2543,19
2544,44
2545,1311
2546,13
2547,12
2548,7
2549,8
2550,14
2551,75
2552,16
2553,12
2554,6
2555,2
2556,6
2557,6
2558,1
2559,61
2560,66
2561,36
2562,29
2563,13
2564,49
2565,5
2566,2
2567,14
2568,3
2569,1
2570,144
2571,11
2572,0
2573,45
2574,2
2575,27
2576,34
2577,19
2578,11
2579,3
2580,37
2581,2
2582,51
2583,18
2584,21
2585,12
2586,31
2587,32
2588,11
2589,17
2590,8
2591,1
2592,8
2593,9
2594,4
2595,3
2596,0
2597,11
2598,70
2599,0
2600,114
2601,15
2602,10
2603,2
2604,8
2605,160
2606,0
2607,3
2608,12
2609,5
2610,8
2611,25
2612,92
2613,1
2614,14
2615,2
2616,3
2617,9
2618,1
2619,28
2620,6
2621,21
2622,7
2623,3
2624,21
2625,6
2626,7
2627,3
2628,0
2629,5
2630,6
2631,19
2632,1
2633,27
2634,0
2635,3
2636,365
2637,2
2638,38
2639,8
2640,4
2641,4
2642,512
2643,14
2644,30
2645,49
2646,30
2647,1
2648,73
2649,19
2650,10
2651,3
2652,494
2653,1
2654,9
2655,6
2656,2
2657,35
2658,4
2659,41
2660,7
2661,35
2662,21
2663,88
2664,58
2665,2
2666,24
2667,0
2668,70
2669,81
2670,5
2671,11
2672,36
2673,1
2674,0
2675,5
2676,7
2677,13
2678,5
2679,1
2680,64
2681,5
2682,13
2683,16
2684,4
2685,2
2686,9
2687,0
2688,2
2689,0
2690,1
