,url,name,developer,publisher,month,year,total_reviews,percent_positive,prices,sameDevPub,esrb,appid,onlinePVP,singlePlayer,onlineCoop,tradingCards,microtransactions,crossPlatform,mmo,account,achievement,remotePlay,controller,agreement,cloud,hasPegi,total_reviews30,percent_positive30,concurrent
1002,https://store.steampowered.com/app/10680/Aliens_vs_Predator,Aliens vs. Predator™,Rebellion,SEGA,Feb,2010,9232,0.89,14.99,0,m,10680,0,1,0,0,0,0,0,0,1,0,0,0,1,1,162,0.85,74
1003,https://store.steampowered.com/app/823130/Totally_Accurate_Battlegrounds,Totally Accurate Battlegrounds,Landfall,Landfall,Jun,2018,6821,0.81,4.99,1,n,823130,1,0,0,0,0,0,0,0,0,0,0,1,0,0,136,0.9,671
1004,https://store.steampowered.com/app/250520/UnderRail,UnderRail,Stygian Software,Stygian Software,Dec,2015,2852,0.86,14.99,1,n,250520,0,1,0,0,0,0,0,0,1,0,0,0,0,0,75,0.86,160
1005,https://store.steampowered.com/app/921800/Encased_A_SciFi_PostApocalyptic_RPG,Encased: A Sci-Fi Post-Apocalyptic RPG,Dark Crystal Games,Black Tower Entertainment,Sep,2019,834,0.82,29.99,0,t,921800,0,1,0,1,0,0,0,0,1,0,0,0,1,1,17,0.76,103
1006,https://store.steampowered.com/app/397950/Clustertruck,Clustertruck,Landfall,tinyBuild,Sep,2016,5925,0.92,14.99,0,n,397950,0,1,0,0,0,0,0,0,1,1,1,0,0,0,111,0.91,62
1007,https://store.steampowered.com/app/3920/Sid_Meiers_Pirates,Sid Meier's Pirates!,Firaxis Games,2K,Jul,2005,3259,0.94,9.99,0,e,3920,0,1,0,0,0,0,0,0,0,0,0,1,0,1,60,0.98,156
1008,https://store.steampowered.com/app/563840/LOST_EMBER,LOST EMBER,Mooneye Studios,Mooneye Studios,Nov,2019,2020,0.89,29.99,1,e10,563840,0,1,0,1,0,0,0,0,1,0,1,0,1,1,43,0.86,14
1009,https://store.steampowered.com/app/934930/RDS__The_Official_Drift_Videogame,RDS - The Official Drift Videogame,Drift Physics Crew,Drift Physics Crew,Jun,2019,779,0.79,17.99,1,n,934930,1,1,0,0,0,0,0,0,0,0,0,0,1,0,33,0.93,3
1010,https://store.steampowered.com/app/1070710/Kind_Words_lo_fi_chill_beats_to_write_to,Kind Words (lo fi chill beats to write to),Popcannibal,Popcannibal,Sep,2019,3830,0.98,4.99,1,n,1070710,1,1,1,0,0,0,0,0,0,0,0,0,1,0,181,1.0,11
1011,https://store.steampowered.com/app/237930/Transistor,Transistor,Supergiant Games,Supergiant Games,May,2014,23341,0.94,19.99,1,t,237930,0,1,0,1,0,0,0,0,1,1,1,0,1,1,291,0.89,24
